Source,Type,Target,Weight
Агнесса ,Undirected,Алла ,1
Агнесса ,Undirected,Аметистов ,1
Агнесса ,Undirected,Вторая_дама ,1
Агнесса ,Undirected,Голос ,1
Агнесса ,Undirected,Закройщица ,1
Агнесса ,Undirected,Зоя ,1
Агнесса ,Undirected,Манюшка ,1
Агнесса ,Undirected,Первая_дама ,1
Агнесса ,Undirected,Третья_дама ,1
Агнесса ,Undirected,Швея ,1
Алла ,Undirected,Аллилуя ,1
Алла ,Undirected,Аметистов ,2
Алла ,Undirected,Ванечка,1
Алла ,Undirected,Вторая_дама ,1
Алла ,Undirected,Газолин ,1
Алла ,Undirected,Голос ,1
Алла ,Undirected,Гусь ,1
Алла ,Undirected,Закройщица ,1
Алла ,Undirected,Зоя ,2
Алла ,Undirected,Иванова ,1
Алла ,Undirected,Курильщик ,1
Алла ,Undirected,Лизанька ,1
Алла ,Undirected,Манюшка ,2
Алла ,Undirected,Мертвое_тело ,1
Алла ,Undirected,Мымра ,1
Алла ,Undirected,Обольянинов ,1
Алла ,Undirected,Первая_дама ,1
Алла ,Undirected,Пеструхин ,1
Алла ,Undirected,Поэт ,1
Алла ,Undirected,Роббер ,1
Алла ,Undirected,Толстяк ,1
Алла ,Undirected,Третья_дама ,1
Алла ,Undirected,Фокстротчик ,1
Алла ,Undirected,Херувим ,1
Алла ,Undirected,Швея ,1
Аллилуя ,Undirected,Аметистов ,2
Аллилуя ,Undirected,Ванечка,1
Аллилуя ,Undirected,Ванечка ,1
Аллилуя ,Undirected,Газолин ,2
Аллилуя ,Undirected,Гусь ,1
Аллилуя ,Undirected,Зоя ,2
Аллилуя ,Undirected,Иванова ,1
Аллилуя ,Undirected,Курильщик ,1
Аллилуя ,Undirected,Лизанька ,1
Аллилуя ,Undirected,Манюшка ,3
Аллилуя ,Undirected,Мертвое_тело ,1
Аллилуя ,Undirected,Мымра ,1
Аллилуя ,Undirected,Обольянинов ,3
Аллилуя ,Undirected,Пеструхин ,2
Аллилуя ,Undirected,Поэт ,1
Аллилуя ,Undirected,Роббер ,1
Аллилуя ,Undirected,Толстяк ,2
Аллилуя ,Undirected,Фокстротчик ,1
Аллилуя ,Undirected,Херувим ,2
Аметистов ,Undirected,Ванечка,1
Аметистов ,Undirected,Ванечка ,1
Аметистов ,Undirected,Вторая_дама ,1
Аметистов ,Undirected,Газолин ,2
Аметистов ,Undirected,Голос ,1
Аметистов ,Undirected,Гусь ,2
Аметистов ,Undirected,Закройщица ,1
Аметистов ,Undirected,Зоя ,4
Аметистов ,Undirected,Иванова ,2
Аметистов ,Undirected,Курильщик ,1
Аметистов ,Undirected,Лизанька ,2
Аметистов ,Undirected,Манюшка ,5
Аметистов ,Undirected,Мертвое_тело ,1
Аметистов ,Undirected,Мымра ,2
Аметистов ,Undirected,Обольянинов ,4
Аметистов ,Undirected,Первая_дама ,1
Аметистов ,Undirected,Пеструхин ,2
Аметистов ,Undirected,Поэт ,1
Аметистов ,Undirected,Роббер ,1
Аметистов ,Undirected,Толстяк ,2
Аметистов ,Undirected,Третья_дама ,1
Аметистов ,Undirected,Фокстротчик ,1
Аметистов ,Undirected,Херувим ,4
Аметистов ,Undirected,Швея ,1
Ванечка ,Undirected,Газолин ,1
Ванечка ,Undirected,Манюшка ,1
Ванечка ,Undirected,Обольянинов ,1
Ванечка ,Undirected,Пеструхин ,1
Ванечка ,Undirected,Толстяк ,1
Ванечка ,Undirected,Херувим ,1
Ванечка,Undirected,Газолин ,1
Ванечка,Undirected,Гусь ,1
Ванечка,Undirected,Зоя ,1
